id;template_id;template_name;template_file_name;template_file;template_file_content_type;effective_dt;expiry_dt;status;created_by;created_dt;updated_by;updated_dt;version
1;California turn-key Roads;Administrator Djibouti Franc;Avon Web EXE;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;even-keeled system;New Taiwan Dollar;2021-03-04;neural-net architectures green;2021-03-04;94112
2;Bedfordshire Investment Account needs-based;Cambridgeshire Quality;cross-platform hacking;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;Sports South Dakota;Egypt Berkshire Refined Steel Computer;2021-03-04;Virginia programming;2021-03-04;97041
3;Streets;SMS;violet;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;optimizing;invoice lavender;2021-03-04;Rustic Steel Ball Jewelery partnerships;2021-03-04;94670
4;overriding Handmade Baht;Assistant;Officer ubiquitous;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;Colorado;payment Paraguay;2021-03-04;back up RSS Mexican Peso Mexican Unidad de Inversion (UDI);2021-03-04;68397
5;architecture Shoes;Pula cutting-edge;Incredible Group Cotton;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;Principal;Saint Lucia Handcrafted users;2021-03-04;Hawaii red;2021-03-04;91873
6;Small Cotton Keyboard Response Electronics;reboot;definition dedicated THX;../fake-data/blob/hipster.png;image/png;2021-03-05;2021-03-04;Fish bypassing;Rubber;2021-03-04;deposit Refined;2021-03-04;7551
7;Gorgeous Cotton Salad;strategize Director;USB connecting;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;hacking Zambia;Graphical User Interface French Guiana incentivize;2021-03-05;Bedfordshire;2021-03-04;5289
8;Motorway invoice;User-centric Beauty;Mayotte array;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;Ohio;Persevering Granite;2021-03-04;azure;2021-03-04;13053
9;azure mint green;feed mobile generate;Sharable;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;Awesome Producer Metal;cross-media B2B reboot;2021-03-05;Internal;2021-03-04;30955
10;Electronics;EXE;Orchestrator Licensed;../fake-data/blob/hipster.png;image/png;2021-03-04;2021-03-04;virtual Fantastic;deposit violet generate;2021-03-04;Soft vortals Handcrafted;2021-03-04;14147
